Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,HistoricalResponseChannel,CLV,HistoricalOfferId,HistoricalOffername,response,Revenue,CostToServe,OfferProbability,Channel,ChannelProbability,OfferID,OfferDescription
10150.000000,"F","Women's Sportwear",411.350000,"NO","Mobile",41135.400000,1.000000,"Anastasia Beverly Hills",1.000000,334.820000,64.190000,0.524633,"Mobile",0.953488,1.000000,"Anastasia Beverly Hills"
10236.000000,"F","Men's Career",420.570000,"YES","Email",42057.200000,6.000000,"Lancome Gift with Purchase",1.000000,333.560000,80.670000,0.388857,"Email",0.909091,9.000000,"Save 10% with store pickup"
10360.000000,"M","Men's Sportswear",274.010000,"NO","Direct Mail",27401.200000,4.000000,"Home Closeout",1.000000,501.260000,77.170000,0.647299,"Direct Mail",0.933333,4.000000,"Home Closeout"
10451.000000,"M","Men's Sportswear",150.170000,"NO","Direct Mail",15017.400000,4.000000,"Home Closeout",1.000000,306.570000,85.090000,0.593704,"Direct Mail",0.933333,1.000000,"Anastasia Beverly Hills"
10609.000000,"F","Men's Casual",142.390000,"NO","Direct Mail",14238.900000,1.000000,"Anastasia Beverly Hills",1.000000,376.690000,92.350000,0.575383,"Direct Mail",0.933333,1.000000,"Anastasia Beverly Hills"
10614.000000,"M","Women's Shoes",190.430000,"NO","Email",19042.500000,9.000000,"Save 10% with store pickup",1.000000,333.810000,100.020000,0.418533,"Email",0.900000,4.000000,"Home Closeout"
10645.000000,"M","Men's Casual",184.800000,"YES","Mobile",18480.300000,1.000000,"Anastasia Beverly Hills",1.000000,287.560000,51.030000,0.426920,"Mobile",0.800000,2.000000,"Discount of Womens Active Shoes"
10717.000000,"M","Men's Casual",472.710000,"NO","Mobile",47270.500000,1.000000,"Anastasia Beverly Hills",1.000000,497.920000,81.830000,0.475184,"Mobile",0.960000,1.000000,"Anastasia Beverly Hills"
10872.000000,"M","Women's Shoes",206.180000,"NO","Email",20617.600000,2.000000,"Discount of Womens Active Shoes",1.000000,409.280000,45.650000,0.477360,"Email",0.900000,4.000000,"Home Closeout"
10902.000000,"M","Women's Career",267.180000,"NO","Mobile",26718.200000,1.000000,"Anastasia Beverly Hills",1.000000,360.150000,76.450000,0.461296,"Mobile",0.846154,1.000000,"Anastasia Beverly Hills"
10915.000000,"F","Women's Career",124.620000,"NO","Mobile",12462.400000,1.000000,"Anastasia Beverly Hills",1.000000,299.410000,62.030000,0.462945,"Mobile",0.947368,1.000000,"Anastasia Beverly Hills"
10944.000000,"M","Men's Sportswear",453.280000,"NO","Mobile",45327.800000,2.000000,"Discount of Womens Active Shoes",1.000000,273.290000,48.130000,0.523612,"Mobile",0.800000,4.000000,"Home Closeout"
10987.000000,"F","Women's Career",377.080000,"YES","Email",37707.500000,1.000000,"Anastasia Beverly Hills",1.000000,338.520000,109.750000,0.385371,"Email",0.833333,2.000000,"Discount of Womens Active Shoes"
11119.000000,"F","Home goods",294.210000,"YES","Direct Mail",29420.500000,9.000000,"Save 10% with store pickup",1.000000,384.540000,89.290000,0.428933,"Direct Mail",0.894737,9.000000,"Save 10% with store pickup"
11220.000000,"M","Women's Shoes",236.330000,"YES","Mobile",23632.500000,4.000000,"Home Closeout",1.000000,333.570000,85.970000,0.342510,"Mobile",0.833333,1.000000,"Anastasia Beverly Hills"
11230.000000,"M","Women's Sportwear",462.790000,"NO","Email",46279.000000,3.000000,"Dress sale - 30 percent off",1.000000,378.070000,89.440000,0.517724,"Email",0.976190,4.000000,"Home Closeout"
11236.000000,"M","Men's Casual",425.670000,"YES","Mobile",42566.900000,11.000000,"Save 20% Career Suits",1.000000,511.360000,67.980000,0.372213,"Mobile",0.904762,4.000000,"Home Closeout"
11241.000000,"M","Men's Sportswear",338.900000,"NO","Direct Mail",33890.100000,1.000000,"Anastasia Beverly Hills",1.000000,439.510000,62.690000,0.435645,"Direct Mail",0.894737,4.000000,"Home Closeout"
11357.000000,"F","Women's Shoes",107.530000,"YES","Email",10753.000000,2.000000,"Discount of Womens Active Shoes",1.000000,247.440000,84.200000,0.351561,"Email",0.935484,4.000000,"Home Closeout"
11553.000000,"M","Women's Career",151.130000,"NO","Email",15113.300000,11.000000,"Save 20% Career Suits",1.000000,559.170000,50.160000,0.663705,"Email",0.920000,1.000000,"Anastasia Beverly Hills"
11565.000000,"F","Women's Shoes",449.750000,"NO","Email",44974.500000,2.000000,"Discount of Womens Active Shoes",1.000000,412.050000,72.060000,0.406611,"Email",0.976190,1.000000,"Anastasia Beverly Hills"
11818.000000,"F","Women's Career",319.050000,"YES","Mobile",31905.100000,2.000000,"Discount of Womens Active Shoes",1.000000,386.370000,73.320000,0.436931,"Mobile",0.950000,2.000000,"Discount of Womens Active Shoes"
11966.000000,"M","Men's Career",221.880000,"NO","Mobile",22187.700000,1.000000,"Anastasia Beverly Hills",1.000000,266.470000,112.740000,0.459417,"Mobile",0.950000,1.000000,"Anastasia Beverly Hills"
12291.000000,"M","Women's Shoes",419.520000,"NO","Email",41951.800000,8.000000,"Free shipping on orders over $49",1.000000,183.450000,73.750000,0.392960,"Email",0.976190,1.000000,"Anastasia Beverly Hills"
12312.000000,"F","Men's Casual",192.180000,"YES","Mobile",19217.500000,2.000000,"Discount of Womens Active Shoes",1.000000,556.850000,60.650000,0.412910,"Mobile",0.950000,6.000000,"Lancome Gift with Purchase"
