Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV,Offer,Offername,response,Revenue,CostToServe,$S-Offername-1,$SC-Offername-1,$S-Offername-2,$SC-Offername-2,$S-Offername-3,$SC-Offername-3
10150.000000,"F","Women's Sportwear",411.350000,"NO","Mobile",41135.400000,1.000000,"Anastasia Beverly Hills",1.000000,334.820000,64.190000,"Anastasia Beverly Hills",0.524633,"Johnston and Murphy",0.267323,"Home Closeout",0.266378
10236.000000,"F","Men's Career",420.570000,"YES","Email",42057.200000,6.000000,"Lancome Gift with Purchase",1.000000,333.560000,80.670000,"Save 10% with store pickup",0.388857,"Anastasia Beverly Hills",0.341536,"Shoe and Handbag sale",0.300846
10360.000000,"M","Men's Sportswear",274.010000,"NO","Direct Mail",27401.200000,4.000000,"Home Closeout",1.000000,501.260000,77.170000,"Home Closeout",0.647299,"Anastasia Beverly Hills",0.398456,"Womens Sweater Sale",0.287720
10451.000000,"M","Men's Sportswear",150.170000,"NO","Direct Mail",15017.400000,4.000000,"Home Closeout",1.000000,306.570000,85.090000,"Anastasia Beverly Hills",0.593704,"Home Closeout",0.446286,"Womens Sweater Sale",0.230376
10609.000000,"F","Men's Casual",142.390000,"NO","Direct Mail",14238.900000,1.000000,"Anastasia Beverly Hills",1.000000,376.690000,92.350000,"Anastasia Beverly Hills",0.575383,"Lancome Gift with Purchase",0.275248,"Save 20% Career Suits",0.245687
10614.000000,"M","Women's Shoes",190.430000,"NO","Email",19042.500000,9.000000,"Save 10% with store pickup",1.000000,333.810000,100.020000,"Home Closeout",0.418533,"Discount of Womens Active Shoes",0.322595,"Lancome Gift with Purchase",0.309288
10645.000000,"M","Men's Casual",184.800000,"YES","Mobile",18480.300000,1.000000,"Anastasia Beverly Hills",1.000000,287.560000,51.030000,"Discount of Womens Active Shoes",0.426920,"Home Closeout",0.378719,"Lancome Gift with Purchase",0.318866
10717.000000,"M","Men's Casual",472.710000,"NO","Mobile",47270.500000,1.000000,"Anastasia Beverly Hills",1.000000,497.920000,81.830000,"Anastasia Beverly Hills",0.475184,"Home Closeout",0.460419,"Lancome Gift with Purchase",0.286844
10872.000000,"M","Women's Shoes",206.180000,"NO","Email",20617.600000,2.000000,"Discount of Womens Active Shoes",1.000000,409.280000,45.650000,"Home Closeout",0.477360,"Discount of Womens Active Shoes",0.361353,"Shoe and Handbag sale",0.350096
10902.000000,"M","Women's Career",267.180000,"NO","Mobile",26718.200000,1.000000,"Anastasia Beverly Hills",1.000000,360.150000,76.450000,"Anastasia Beverly Hills",0.461296,"Home Closeout",0.389379,"Womens Sweater Sale",0.236969
10915.000000,"F","Women's Career",124.620000,"NO","Mobile",12462.400000,1.000000,"Anastasia Beverly Hills",1.000000,299.410000,62.030000,"Anastasia Beverly Hills",0.462945,"Discount of Womens Active Shoes",0.291782,"Home Closeout",0.285909
10944.000000,"M","Men's Sportswear",453.280000,"NO","Mobile",45327.800000,2.000000,"Discount of Womens Active Shoes",1.000000,273.290000,48.130000,"Home Closeout",0.523612,"Anastasia Beverly Hills",0.403743,"Discount of Womens Active Shoes",0.280337
10987.000000,"F","Women's Career",377.080000,"YES","Email",37707.500000,1.000000,"Anastasia Beverly Hills",1.000000,338.520000,109.750000,"Discount of Womens Active Shoes",0.385371,"Anastasia Beverly Hills",0.376334,"Free shipping on orders over $49",0.270920
11119.000000,"F","Home goods",294.210000,"YES","Direct Mail",29420.500000,9.000000,"Save 10% with store pickup",1.000000,384.540000,89.290000,"Save 10% with store pickup",0.428933,"Home Closeout",0.393509,"Womens Sweater Sale",0.297604
11220.000000,"M","Women's Shoes",236.330000,"YES","Mobile",23632.500000,4.000000,"Home Closeout",1.000000,333.570000,85.970000,"Anastasia Beverly Hills",0.342510,"Save 20% Career Suits",0.330460,"Home Closeout",0.309981
11230.000000,"M","Women's Sportwear",462.790000,"NO","Email",46279.000000,3.000000,"Dress sale - 30 percent off",1.000000,378.070000,89.440000,"Home Closeout",0.517724,"Anastasia Beverly Hills",0.451487,"Lancome Gift with Purchase",0.381258
11236.000000,"M","Men's Casual",425.670000,"YES","Mobile",42566.900000,11.000000,"Save 20% Career Suits",1.000000,511.360000,67.980000,"Home Closeout",0.372213,"Save 20% Career Suits",0.306420,"Anastasia Beverly Hills",0.289157
