"ID","Gender","Status","Children","Est.Income","Car.Owner","Age","International","Local","Paymethod","LocalBilltype","LongDistanceBilltype","Usage","RatePlan","ValidLongDistance","Dropped","IncomeGroup","CallerType"
1,"F","S",1,38000,"N",24.393333,0,206.08,"CC","Budget","Intnl_discount",229.64,3,168,3,"Income_Group_2","Domestic"
6,"M","M",2,29616,"N",49.426667,0,45.5,"CH","FreeLocal","Standard",75.29,2,233,2,"Income_Group_2","Domestic"
8,"M","M",0,19732.8,"N",50.673333,0,22.44,"CC","FreeLocal","Standard",47.25,3,238,5,"Income_Group_1","Domestic"
11,"M","S",2,96.33,"N",56.473333,0,32.88,"CC","Budget","Standard",59.01,1,188,1,"Income_Group_1","Domestic"
14,"F","M",2,52004.8,"N",25.14,0,23.11,"CH","Budget","Intnl_discount",28.14,1,267,0,"Income_Group_4","Domestic"
17,"M","M",2,53010.8,"N",18.84,0,46.42,"CC","FreeLocal","Standard",58.87,1,41,4,"Income_Group_4","Domestic"
18,"M","M",1,75004.5,"N",64.8,0,32.19,"CC","Budget","Intnl_discount",58.72,1,192,2,"","Domestic"
21,"M","M",0,19749.3,"N",60.366667,0,13.94,"CC","Budget","Standard",34.17,3,119,6,"Income_Group_1","Domestic"
22,"M","S",1,57626.9,"Y",43.906667,0,38.96,"CC","Budget","Standard",48.35,2,309,1,"Income_Group_4","Domestic"
23,"M","M",2,20078,"N",32.846667,0,6.33,"CC","Budget","Intnl_discount",15.98,4,311,1,"Income_Group_1","Domestic"
24,"F","M",2,47902,"N",26.033333,4.94,49.92,"Auto","FreeLocal","Standard",72.31,2,85,2,"Income_Group_2","Both"
29,"M","M",1,7545.96,"Y",16.753333,0,178.36,"CC","Budget","Standard",200.75,3,152,2,"Income_Group_1","Domestic"
35,"F","S",0,78851.3,"N",48.373333,0,28.66,"CC","FreeLocal","Standard",29.04,4,5,1,"","Domestic"
36,"F","S",1,17540.7,"Y",62.786667,0.57,13.45,"Auto","Budget","Standard",36.2,4,148,1,"Income_Group_1","Both"
37,"F","M",0,83891.9,"Y",61.02,0,45.47,"CH","Budget","Standard",74.4,4,218,8,"","Domestic"
38,"F","M",2,28220.8,"N",38.766667,0,12.46,"CC","FreeLocal","Standard",38.95,4,191,1,"Income_Group_2","Domestic"
