ID,Gender,Status,Children,Est Income,Car Owner,Age,International,Local,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan,CHURN,LongDistance,Dropped,IncomeGroup,CallerType
1,"F","S",1,38000.000000,"N",24.393333,0.000000,206.080000,"CC","Budget","Intnl_discount",229.640000,3,"T",23.560000,3,"Income_Group_2","Domestic"
6,"M","M",2,29616.000000,"N",49.426667,0.000000,45.500000,"CH","FreeLocal","Standard",75.290000,2,"F",29.780000,2,"Income_Group_2","Domestic"
11,"M","S",2,96.330000,"N",56.473333,0.000000,32.880000,"CC","Budget","Standard",59.010000,1,"F",26.130000,1,"Income_Group_1","Domestic"
14,"F","M",2,52004.800000,"N",25.140000,0.000000,23.110000,"CH","Budget","Intnl_discount",28.140000,1,"F",5.030000,0,"Income_Group_3","Domestic"
17,"M","M",2,53010.800000,"N",18.840000,0.000000,46.420000,"CC","FreeLocal","Standard",58.870000,1,"F",12.450000,4,"Income_Group_3","Domestic"
18,"M","M",1,75004.500000,"N",64.800000,0.000000,32.190000,"CC","Budget","Intnl_discount",58.720000,1,"F",26.520000,2,"Income_Group_4","Domestic"
21,"M","M",0,19749.300000,"N",60.366667,0.000000,13.940000,"CC","Budget","Standard",34.170000,3,"F",20.220000,6,"Income_Group_1","Domestic"
22,"M","S",1,57626.900000,"Y",43.906667,0.000000,38.960000,"CC","Budget","Standard",48.350000,2,"F",9.380000,1,"Income_Group_3","Domestic"
23,"M","M",2,20078.000000,"N",32.846667,0.000000,6.330000,"CC","Budget","Intnl_discount",15.980000,4,"F",9.650000,1,"Income_Group_1","Domestic"
24,"F","M",2,47902.000000,"N",26.033333,4.940000,49.920000,"Auto","FreeLocal","Standard",72.310000,2,"F",17.440000,2,"Income_Group_2","Both"
29,"M","M",1,7545.960000,"Y",16.753333,0.000000,178.360000,"CC","Budget","Standard",200.750000,3,"T",22.390000,2,"Income_Group_1","Domestic"
35,"F","S",0,78851.300000,"N",48.373333,0.000000,28.660000,"CC","FreeLocal","Standard",29.040000,4,"T",0.370000,1,"Income_Group_4","Domestic"
36,"F","S",1,17540.700000,"Y",62.786667,0.570000,13.450000,"Auto","Budget","Standard",36.200000,4,"T",22.170000,1,"Income_Group_1","Both"
37,"F","M",0,83891.900000,"Y",61.020000,0.000000,45.470000,"CH","Budget","Standard",74.400000,4,"T",28.920000,8,"Income_Group_4","Domestic"
38,"F","M",2,28220.800000,"N",38.766667,0.000000,12.460000,"CC","FreeLocal","Standard",38.950000,4,"T",26.490000,1,"Income_Group_2","Domestic"
40,"F","S",0,28589.100000,"N",15.600000,0.000000,87.090000,"CC","FreeLocal","Standard",100.280000,4,"T",13.190000,2,"Income_Group_2","Domestic"
42,"F","M",2,5237.630000,"N",48.753333,8.050000,56.640000,"CC","Budget","Standard",78.020000,2,"F",13.320000,1,"Income_Group_1","Both"
45,"M","S",2,89459.900000,"N",53.280000,1.610000,22.900000,"CC","FreeLocal","Standard",36.050000,2,"T",11.540000,3,"Income_Group_4","Both"
48,"F","S",1,13576.500000,"N",39.426667,0.000000,25.660000,"CC","Budget","Standard",40.490000,1,"T",14.830000,2,"Income_Group_1","Domestic"
52,"F","M",2,67388.000000,"N",53.120000,0.500000,91.040000,"CC","Budget","Standard",96.330000,3,"T",4.790000,6,"Income_Group_3","Both"
53,"F","M",1,57063.000000,"Y",52.333333,0.000000,81.300000,"CH","Budget","Standard",98.100000,4,"F",16.790000,0,"Income_Group_3","Domestic"
54,"F","M",2,84166.100000,"N",54.013333,0.000000,11.740000,"CC","Budget","Standard",15.020000,2,"T",3.280000,1,"Income_Group_4","Domestic"
60,"F","S",1,7737.940000,"N",42.666667,0.000000,50.840000,"CC","FreeLocal","Standard",61.900000,4,"T",11.050000,0,"Income_Group_1","Domestic"
